Electrophile,Nucleophile,Ligand,Base,Solvent,Yield
quinolin-6-yl trifluoromethanesulfonate,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,"dicyclohexyl-[2-(2,6-dimethoxyphenyl)phenyl]phosphane",sodium hydrogen carbonate,acetonitrile,10.54
4-bromo-5-methyl-1-(oxan-2-yl)indazole,quinolin-6-ylboronic acid,Nothing,tripotassium;phosphate,acetonitrile,21.14
6-iodoquinoline,[5-methyl-1-(oxan-2-yl)indazol-4-yl]boronic acid,"1,1'-Bis(diphenylphosphino)ferrocene",sodium hydrogen carbonate,oxolane,71.51
6-chloroquinoline,"5-methyl-1-(oxan-2-yl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)indazole",triphenylphosphane,sodium hydrogen carbonate,methanol,11.91
4-bromo-5-methyl-1-(oxan-2-yl)indazole,quinolin-6-ylboronic acid,tricyclohexylphosphane,cesium fluoride,methanol,59.37
quinolin-6-yl trifluoromethanesulfonate,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,"bis(ditert-butyl(cyclopenta-1,3-dien-1-yl)phosphane);iron(2+)",lithium 2-methylpropan-2-olate,methanol,32.73
4-bromo-5-methyl-1-(oxan-2-yl)indazole,quinolin-6-ylboronic acid,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane",tripotassium;phosphate,methanol,21.78
quinolin-6-yl trifluoromethanesulfonate,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,"dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane",tripotassium;phosphate,"N,N-dimethylformamide",35.78
6-bromoquinoline,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,triphenylphosphane,sodium hydrogen carbonate,acetonitrile,14.48
6-chloroquinoline,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,triphenylphosphane,Nothing,acetonitrile,19.58
quinolin-6-yl trifluoromethanesulfonate,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,tris(2-methylphenyl)phosphane,Nothing,methanol,38.2
6-bromoquinoline,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,bis(1-adamantyl)-butylphosphane,lithium 2-methylpropan-2-olate,methanol,61.84
6-iodoquinoline,potassium trifluoro(5-methyl-1-(tetrahydro-2H-pyran-2-yl)-1H-indazol-4-yl)borate,tricyclohexylphosphane,sodium hydrogen carbonate,methanol,69.95
6-chloroquinoline,[5-methyl-1-(oxan-2-yl)indazol-4-yl]boronic acid,tris(2-methylphenyl)phosphane,"N,N-diethylethanamine",methanol,14.65
quinolin-6-yl trifluoromethanesulfonate,"5-methyl-1-(oxan-2-yl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)indazole","dicyclohexyl-[2-[2,4,6-tri(propan-2-yl)phenyl]phenyl]phosphane",sodium hydroxide,"N,N-dimethylformamide",68.92
6-chloroquinoline,[5-methyl-1-(oxan-2-yl)indazol-4-yl]boronic acid,bis(1-adamantyl)-butylphosphane,Nothing,"N,N-dimethylformamide",8.89
4-bromo-5-methyl-1-(oxan-2-yl)indazole,potassium trifluoro(quinolin-6-yl)boranuide,"bis(ditert-butyl(cyclopenta-1,3-dien-1-yl)phosphane);iron(2+)",potassium hydroxide,"N,N-dimethylformamide",0.0
6-chloroquinoline,"5-methyl-1-(oxan-2-yl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)indazole",tritert-butylphosphane,sodium hydrogen carbonate,acetonitrile,10.73
